protein_group,precursor_num,scan_num
sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN,3,6
sp|A8MXT2|MAGBH_HUMAN,1,2
sp|A8MXV4|NUD19_HUMAN,5,9
sp|A8MZ36|EVPLL_HUMAN;sp|Q92817|EVPL_HUMAN,1,1
sp|A8TX70|CO6A5_HUMAN,8,8
sp|A9UHW6|MI4GD_HUMAN,1,1
sp|B0FP48|UPK3L_HUMAN;sp|E5RIL1|UPKL2_HUMAN,1,2
sp|B0I1T2|MYO1G_HUMAN,7,7
sp|B2RPK0|HGB1A_HUMAN,1,1
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN,10,26
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN;sp|P23497|SP100_HUMAN,2,2
sp|B2RPK0|HGB1A_HUMAN;sp|P09429|HMGB1_HUMAN;sp|P26583|HMGB2_HUMAN,2,2
sp|B2RTY4|MYO9A_HUMAN,3,3
sp|B2RXF0|T229A_HUMAN,1,1
sp|B2RXH8|HNRC2_HUMAN,1,1
sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P07910|HNRPC_HUMAN;sp|P0DMR1|HNRC4_HUMAN,4,7
sp|B4DXR9|ZN732_HUMAN;sp|O75346|ZN253_HUMAN,1,1
sp|B5ME19|EIFCL_HUMAN;sp|Q99613|EIF3C_HUMAN,23,34
sp|B7ZAP0|RBG10_HUMAN;sp|Q9Y3P9|RBGP1_HUMAN,2,3
sp|B7ZC32|KIF28_HUMAN,1,2
sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN,1,2
sp|B9A064|IGLL5_HUMAN;sp|P0CG04|IGLC1_HUMAN;sp|P0DOX8|IGL1_HUMAN,1,1
sp|C0HLS1|OSCRI_HUMAN,2,2
sp|C4AMC7|WASH3_HUMAN;sp|Q6VEQ5|WASH2_HUMAN,3,3
sp|C9J069|AJM1_HUMAN,1,1
sp|C9JCN9|HSBPL_HUMAN,1,1
sp|C9JLW8|MCRI1_HUMAN,2,4
sp|C9JQL5|DSA2D_HUMAN;sp|Q01628|IFM3_HUMAN,1,5
sp|C9JRZ8|AK1BF_HUMAN;sp|O60218|AK1BA_HUMAN,2,2
sp|C9JRZ8|AK1BF_HUMAN;sp|P15121|ALDR_HUMAN,1,1
sp|D3DTV9|PRAC2_HUMAN,1,1
sp|D6REC4|CFA99_HUMAN,2,3
sp|D6RIA3|CD054_HUMAN,1,1
sp|E5RHQ5|NPB11_HUMAN,1,1
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN,4,11
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN;sp|Q9BZK3|NACP4_HUMAN,1,5
