protein_group,sequence_count
sp|A0A1W2PQL4|ZN722_HUMAN;sp|A2RRD8|ZN320_HUMAN;sp|A6NN14|ZN729_HUMAN;sp|A6NP11|ZN716_HUMAN;sp|A8MT65|ZN891_HUMAN;sp|B4DXR9|ZN732_HUMAN;sp|O14628|ZN195_HUMAN;sp|O60765|Z354A_HUMAN;sp|O75346|ZN253_HUMAN;sp|P0CB33|ZN735_HUMAN;sp|P0CJ79|ZN888_HUMAN;sp|P0DPD5|ZN723_HUMAN;sp|P17035|ZNF28_HUMAN;sp|P17039|ZNF30_HUMAN;sp|P59923|ZN445_HUMAN;sp|Q03936|ZNF92_HUMAN;sp|Q03938|ZNF90_HUMAN;sp|Q08AN1|ZN616_HUMAN;sp|Q15928|ZN141_HUMAN;sp|Q3MIS6|ZN528_HUMAN;sp|Q3SXZ3|ZN718_HUMAN;sp|Q5FWF6|ZN789_HUMAN;sp|Q5HY98|ZN766_HUMAN;sp|Q5JVG8|ZN506_HUMAN;sp|Q5VIY5|ZN468_HUMAN;sp|Q6ZN06|ZN813_HUMAN;sp|Q6ZN08|ZNF66_HUMAN;sp|Q76KX8|ZN534_HUMAN;sp|Q7L2R6|ZN765_HUMAN;sp|Q86XN6|ZN761_HUMAN;sp|Q86XU0|ZN677_HUMAN;sp|Q86YE8|ZN573_HUMAN;sp|Q8IW36|ZN695_HUMAN;sp|Q8IYB9|ZN595_HUMAN;sp|Q8IYX0|ZN679_HUMAN;sp|Q8N782|ZN525_HUMAN;sp|Q8N859|ZN713_HUMAN;sp|Q8N9Z0|ZN610_HUMAN;sp|Q8NB42|ZN527_HUMAN;sp|Q8TB69|ZN519_HUMAN;sp|Q8WV37|ZN480_HUMAN;sp|Q96H40|ZN486_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96JC4|ZN479_HUMAN;sp|Q96JL9|ZN333_HUMAN;sp|Q96LW1|Z354B_HUMAN;sp|Q96SE7|ZN347_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9HBT8|Z286A_HUMAN;sp|Q9NV72|ZN701_HUMAN;sp|Q9P2J8|ZN624_HUMAN;sp|Q9Y2Q1|ZN257_HUMAN,1
sp|A0A1W2PQL4|ZN722_HUMAN;sp|A6NP11|ZN716_HUMAN;sp|A8MQ14|ZN850_HUMAN;sp|B4DXR9|ZN732_HUMAN;sp|O60765|Z354A_HUMAN;sp|O75346|ZN253_HUMAN;sp|P17097|ZNF7_HUMAN;sp|P51523|ZNF84_HUMAN;sp|Q15937|ZNF79_HUMAN;sp|Q63HK3|ZKSC2_HUMAN;sp|Q6PDB4|ZN880_HUMAN;sp|Q8IYX0|ZN679_HUMAN;sp|Q8N4W9|ZN808_HUMAN;sp|Q8N823|ZN611_HUMAN;sp|Q8N9F8|ZN454_HUMAN;sp|Q8TF47|ZFP90_HUMAN;sp|Q96IR2|ZN845_HUMAN;sp|Q96LW1|Z354B_HUMAN;sp|Q9H7R5|ZN665_HUMAN;sp|Q9H8G1|ZN430_HUMAN;sp|Q9HCG1|ZN160_HUMAN;sp|Q9NQZ8|ZNF71_HUMAN,1
sp|A0A1W2PR95|IGB1C_HUMAN;sp|P78318|IGBP1_HUMAN,1
sp|A0A286YF58|TM271_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN,3
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN,1
sp|A0A2R8Y4L2|RA1L3_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN,5
sp|A0A2R8Y619|H2BK1_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P06899|H2B1J_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,4
sp|A0A2R8Y619|H2BK1_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99880|H2B1L_HUMAN,1
sp|A0A2R8Y619|H2BK1_HUMAN;sp|Q8N257|H2B3B_HUMAN,2
sp|A0A3B3IRV3|MCTS2_HUMAN;sp|Q9ULC4|MCTS1_HUMAN,3
sp|A0A494C0N9|F246B_HUMAN;sp|A0A494C0Y3|F246A_HUMAN,1
sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN,9
sp|A0AV96|RBM47_HUMAN,5
sp|A0AVF1|IFT56_HUMAN,3
sp|A0AVT1|UBA6_HUMAN,15
sp|A0FGR8|ESYT2_HUMAN,13
sp|A0M8Q6|IGLC7_HUMAN,2
sp|A0M8Q6|IGLC7_HUMAN;sp|B9A064|IGLL5_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|P0CG04|IGLC1_HUMAN;sp|P0DOX8|IGL1_HUMAN;sp|P0DOY2|IGLC2_HUMAN,1
sp|A0M8Q6|IGLC7_HUMAN;sp|B9A064|IGLL5_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|P0CG04|IGLC1_HUMAN;sp|P0DOX8|IGL1_HUMAN;sp|P0DOY2|IGLC2_HUMAN;sp|P0DOY3|IGLC3_HUMAN,2
sp|A0M8Q6|IGLC7_HUMAN;sp|P0CF74|IGLC6_HUMAN;sp|P0DOY2|IGLC2_HUMAN;sp|P0DOY3|IGLC3_HUMAN,2
sp|A0MZ66|SHOT1_HUMAN,9
sp|A1A4Y4|IRGM_HUMAN,1
sp|A1A5B4|ANO9_HUMAN,2
sp|A1L0T0|HACL2_HUMAN,13
sp|A1L390|PKHG3_HUMAN,2
sp|A1X283|SPD2B_HUMAN,6
sp|A1X283|SPD2B_HUMAN;sp|Q5TCZ1|SPD2A_HUMAN,2
sp|A2A368|MAGBG_HUMAN;sp|A8MXT2|MAGBH_HUMAN;sp|O15480|MAGB3_HUMAN;sp|O60732|MAGC1_HUMAN;sp|P43355|MAGA1_HUMAN;sp|P43358|MAGA4_HUMAN;sp|P43361|MAGA8_HUMAN;sp|P43363|MAGAA_HUMAN;sp|Q96M61|MAGBI_HUMAN,1
sp|A2AJT9|BCLA3_HUMAN,1
