protein_group,sequence_count
sp|P42677|RS27_HUMAN;sp|Q71UM5|RS27L_HUMAN,1
sp|P42765|THIM_HUMAN,3
sp|P42766|RL35_HUMAN,1
sp|P43243|MATR3_HUMAN,4
sp|P43307|SSRA_HUMAN,2
sp|P45880|VDAC2_HUMAN,5
sp|P46087|NOP2_HUMAN,1
sp|P46776|RL27A_HUMAN,2
sp|P46778|RL21_HUMAN,2
sp|P46781|RS9_HUMAN,3
sp|P46783|RS10_HUMAN;sp|Q9NQ39|RS10L_HUMAN,1
sp|P46940|IQGA1_HUMAN,4
sp|P47755|CAZA2_HUMAN;sp|P52907|CAZA1_HUMAN,1
sp|P47756|CAPZB_HUMAN,2
sp|P48047|ATPO_HUMAN,2
sp|P48643|TCPE_HUMAN,3
sp|P49189|AL9A1_HUMAN,1
sp|P49327|FAS_HUMAN,5
sp|P49368|TCPG_HUMAN,2
sp|P49411|EFTU_HUMAN,3
sp|P49588|SYAC_HUMAN,3
sp|P49736|MCM2_HUMAN,1
sp|P49748|ACADV_HUMAN,3
sp|P49915|GUAA_HUMAN,2
sp|P50395|GDIB_HUMAN,3
sp|P50454|SERPH_HUMAN,2
sp|P50914|RL14_HUMAN,2
sp|P50990|TCPQ_HUMAN,5
sp|P50991|TCPD_HUMAN,5
sp|P51149|RAB7A_HUMAN,1
