protein_group,sequence_count
sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN,3
sp|O00116|ADAS_HUMAN,1
sp|O00148|DX39A_HUMAN;sp|Q13838|DX39B_HUMAN,3
sp|O00154|BACH_HUMAN,1
sp|O00170|AIP_HUMAN,1
sp|O00193|SMAP_HUMAN,3
sp|O00231|PSD11_HUMAN,3
sp|O00232|PSD12_HUMAN,3
sp|O00264|PGRC1_HUMAN,1
sp|O00264|PGRC1_HUMAN;sp|O15173|PGRC2_HUMAN,1
sp|O00267|SPT5H_HUMAN,1
sp|O00299|CLIC1_HUMAN,7
sp|O00410|IPO5_HUMAN,1
sp|O00410|IPO5_HUMAN;sp|O60518|RNBP6_HUMAN,1
sp|O00425|IF2B3_HUMAN,3
sp|O00429|DNM1L_HUMAN,1
